Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;16232;"British Journal of Political Science";journal;"00071234, 14692112";"Cambridge University Press";No;No;3,893;Q1;121;119;253;6880;1199;234;4,55;57,82;29,22;0;47;United Kingdom;Western Europe;"Cambridge University Press";"1971-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
12;30020;"Journal of Organizational Behavior";journal;"10991379, 08943796";"John Wiley and Sons Ltd";No;No;3,804;Q1;230;81;194;9059;1820;184;6,06;111,84;49,63;5;11;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1981-1982, 1984-2025";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
13;30039;"Journal of Personality and Social Psychology";journal;"00223514";"American Psychological Association";No;No;3,799;Q1;447;166;392;19473;3024;391;7,28;117,31;46,13;21;28;United States;Northern America;"American Psychological Association";"1965-2025";"Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
14;13447;"Comparative Political Studies";journal;"15523829, 00104140";"SAGE Publications Inc.";No;No;3,766;Q1;134;73;217;5713;1027;217;4,54;78,26;37,50;29;47;United States;Northern America;"SAGE Publications Inc.";"1968-2025";"Sociology and Political Science (Q1)";"Social Sciences"
15;18437;"European Journal of Political Research";journal;"03044130, 14756765";"Wiley-Blackwell Publishing Ltd";No;No;3,590;Q1;127;60;152;3340;927;152;6,19;55,67;36,15;21;27;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2025";"Sociology and Political Science (Q1)";"Social Sciences"
16;22832;"Political Behavior";journal;"01909320, 15736687";"Springer New York";No;No;3,456;Q1;95;80;183;4622;920;181;4,26;57,78;34,12;23;37;United States;Northern America;"Springer New York";"1979-2025";"Sociology and Political Science (Q1)";"Social Sciences"
17;15823;"Journal of Public Administration Research and Theory";journal;"14779803, 10531858";"Oxford University Press";No;No;3,337;Q1;147;44;127;3664;655;126;4,15;83,27;39,81;14;24;United Kingdom;Western Europe;"Oxford University Press";"1991-2025";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
18;17167;"Public Administration Review";journal;"00333352, 15406210";"Wiley-Blackwell";No;No;3,311;Q1;186;106;328;6406;2119;270;7,14;60,43;44,50;32;36;United Kingdom;Western Europe;"Wiley-Blackwell";"1978-1983, 1985, 1988, 1996-2025";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
19;22838;"Political Communication";journal;"10584609, 10917675";"Taylor and Francis Ltd.";No;No;3,061;Q1;114;42;130;2516;898;112;8,04;59,90;39,20;15;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2025";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
20;20333;"Journal of Politics";journal;"14682508, 00223816";"University of Chicago Press";No;No;3,048;Q1;155;179;415;9025;1426;412;2,84;50,42;26,63;50;65;United Kingdom;Western Europe;"University of Chicago Press";"1939-2024";"Sociology and Political Science (Q1)";"Social Sciences"
21;15298;"Structural Equation Modeling";journal;"15328007, 10705511";"Psychology Press Ltd";No;No;3,014;Q1;132;78;205;3404;971;205;4,68;43,64;39,44;4;1;United Kingdom;Western Europe;"Psychology Press Ltd";"1994-2025";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
22;16926;"American Journal of Sociology";journal;"00029602, 15375390";"University of Chicago";No;No;2,884;Q1;214;37;91;4307;451;90;4,07;116,41;37,70;5;15;United States;Northern America;"University of Chicago";"1946-1950, 1964-2024";"Sociology and Political Science (Q1)";"Social Sciences"
23;21100865122;"Research and Politics";journal;"20531680";"SAGE Publications Ltd";Yes;No;2,704;Q1;42;43;129;1287;571;129;2,02;29,93;36,56;12;22;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2025";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
24;25835;"International Security";journal;"15314804, 01622889";"";No;No;2,694;Q1;128;25;72;399;458;47;3,38;15,96;34,21;14;4;United States;Northern America;"";"1984, 1996-2024";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
25;25725;"World Politics";journal;"00438871, 10863338";"Johns Hopkins University Press";No;No;2,670;Q1;132;16;58;1116;196;58;3,39;69,75;42,31;0;9;United States;Northern America;"Johns Hopkins University Press";"1948-2023";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
26;18110;"Sociological Theory";journal;"07352751, 14679558";"SAGE Publications Ltd";No;No;2,651;Q1;94;16;49;1543;210;49;4,39;96,44;38,89;1;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"1996-2025";"Sociology and Political Science (Q1)";"Social Sciences"
27;22861;"Political Psychology";journal;"0162895X, 14679221";"Wiley-Blackwell Publishing Ltd";No;No;2,610;Q1;125;68;211;5063;1203;208;4,49;74,46;41,83;9;28;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2025";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
28;21100870919;"Political Science Research and Methods";journal;"20498470, 20498489";"Cambridge University Press";No;No;2,589;Q1;35;61;178;2481;787;178;4,62;40,67;26,35;18;17;United Kingdom;Western Europe;"Cambridge University Press";"2018-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
29;30060;"World Development";journal;"0305750X, 18735991";"Elsevier B.V.";No;No;2,504;Q1;233;307;1073;23059;7920;967;7,10;75,11;42,67;164;247;United Kingdom;Western Europe;"Elsevier B.V.";"1973-2025";"Development (Q1); Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
30;26362;"Journal of Peace Research";journal;"00223433";"SAGE Publications Ltd";No;No;2,444;Q1;127;62;205;3746;915;201;3,86;60,42;38,52;21;34;United Kingdom;Western Europe;"SAGE Publications Ltd";"1964-2025";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)";"Social Sciences"
31;10300153306;"International Journal of Press/Politics";journal;"19401612, 19401620";"SAGE Publications Inc.";No;No;2,412;Q1;87;42;98;2408;656;93;6,75;57,33;48,31;11;15;United States;Northern America;"SAGE Publications Inc.";"2003, 2008-2025";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
32;28094;"Accounting, Organizations and Society";journal;"03613682";"Elsevier Ltd";No;No;2,411;Q1;164;32;114;3086;549;111;4,24;96,44;39,76;1;6;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Psychology; Social Sciences"
33;5700168564;"Policy and Society";journal;"14494035";"Oxford University Press";Yes;No;2,370;Q1;63;39;97;2468;938;93;10,56;63,28;38,55;19;31;United Kingdom;Western Europe;"Oxford University Press";"2002-2003, 2008-2024";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
34;11600153640;"Quarterly Journal of Political Science";journal;"15540634, 15540626";"Now Publishers Inc";No;No;2,364;Q1;46;19;51;1105;92;49;1,54;58,16;23,81;4;7;United States;Northern America;"Now Publishers Inc";"2006-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
35;26796;"Socio-Economic Review";journal;"14751461";"Oxford University Press";No;No;2,346;Q1;80;79;137;5717;604;134;4,42;72,37;37,21;25;50;United Kingdom;Western Europe;"Oxford University Press";"2005-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
36;13358;"Sociology of Education";journal;"00380407, 19398573";"SAGE Publications Inc.";No;No;2,335;Q1;116;18;55;1264;273;54;3,76;70,22;48,48;4;12;United States;Northern America;"SAGE Publications Inc.";"1980, 1983, 1992, 1996-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
37;26261;"Review of International Political Economy";journal;"09692290, 14664526";"Routledge";No;No;2,331;Q1;92;86;190;7541;1084;184;5,05;87,69;37,86;47;47;United Kingdom;Western Europe;"Routledge";"1994-2025";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
38;19877;"Journal of Democracy";journal;"10455736, 10863214";"Johns Hopkins University Press";Yes;No;2,322;Q1;111;55;156;1082;677;119;3,19;19,67;27,45;25;14;United States;Northern America;"Johns Hopkins University Press";"1996-2025";"Sociology and Political Science (Q1)";"Social Sciences"
39;14735;"Government Information Quarterly";journal;"0740624X";"Elsevier Ltd";No;No;2,321;Q1;144;93;210;7995;2615;204;9,68;85,97;38,02;38;53;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2025";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";"Social Sciences"
40;29561;"Journals of Gerontology - Series B Psychological Sciences and Social Sciences";journal;"10795014, 17585368";"Gerontological Society of America";No;No;2,311;Q1;186;270;693;12239;4322;675;6,68;45,33;61,38;28;82;United States;Northern America;"Gerontological Society of America";"1995-2025";"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Medicine; Nursing; Psychology; Social Sciences"
41;18091;"Sociological Methods and Research";journal;"00491241, 15528294";"SAGE Publications Inc.";No;No;2,252;Q1;100;57;134;3758;941;131;8,58;65,93;26,83;10;8;United States;Northern America;"SAGE Publications Inc.";"1972-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
42;19400158483;"Social Issues and Policy Review";journal;"17512409, 17512395";"Wiley-Blackwell Publishing Ltd";No;No;2,245;Q1;53;9;27;1477;238;26;9,67;164,11;66,67;3;3;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2025";"Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
43;27663;"Journal of Conflict Resolution";journal;"00220027";"SAGE Publications Inc.";No;No;2,164;Q1;131;67;229;4436;744;227;2,87;66,21;29,94;18;32;United States;Northern America;"SAGE Publications Inc.";"1957-2025";"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
44;13892;"International Journal of Urban and Regional Research";journal;"03091317, 14682427";"Wiley-Blackwell Publishing Ltd";No;No;2,149;Q1;138;67;201;4167;876;191;3,57;62,19;48,67;3;53;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-2025";"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
45;21100835891;"Journal of Experimental Political Science";journal;"20522630, 20522649";"Cambridge University Press";No;No;2,143;Q1;27;29;58;871;158;58;2,80;30,03;28,74;0;9;United Kingdom;Western Europe;"Cambridge University Press";"2014-2025";"Sociology and Political Science (Q1)";"Social Sciences"
46;17530;"Social Forces";journal;"15347605, 00377732";"Oxford University Press";No;No;2,132;Q1;158;80;176;4871;724;175;3,38;60,89;39,86;22;45;United Kingdom;Western Europe;"Oxford University Press";"1925-2025";"Anthropology (Q1); History (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
47;23574;"Public Opinion Quarterly";journal;"0033362X, 15375331";"Oxford University Press";No;No;2,129;Q1;124;50;134;2126;428;133;2,60;42,52;30,48;8;27;United Kingdom;Western Europe;"Oxford University Press";"1937-2024";"Communication (Q1); History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
48;15821;"Journal of Policy Analysis and Management";journal;"02768739, 15206688";"Wiley-Liss Inc.";No;No;2,111;Q1;106;63;189;2333;511;136;2,16;37,03;40,46;31;23;United States;Northern America;"Wiley-Liss Inc.";"1981-2025";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
49;16306;"New Media and Society";journal;"14614448, 14617315";"SAGE Publications Ltd";No;No;2,084;Q1;160;133;425;7788;3240;420;6,45;58,56;54,91;38;42;United Kingdom;Western Europe;"SAGE Publications Ltd";"1999-2025";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
50;18090;"Sociological Methodology";journal;"14679531, 00811750";"SAGE Publications Ltd";No;No;1,996;Q1;66;11;43;585;179;32;2,79;53,18;24,14;0;6;United Kingdom;Western Europe;"SAGE Publications Ltd";"1987-1990, 1993, 1996-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
51;19251;"Work, Employment and Society";journal;"14698722, 09500170";"SAGE Publications Ltd";No;No;1,988;Q1;104;64;189;3193;1065;186;4,86;49,89;57,97;18;35;United Kingdom;Western Europe;"SAGE Publications Ltd";"1987-2025";"Accounting (Q1); Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
52;22786;"Policy Studies Journal";journal;"0190292X, 15410072";"Wiley-Blackwell Publishing Ltd";No;No;1,970;Q1;96;39;150;2532;727;139;4,07;64,92;39,08;2;20;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1972-2025";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
53;17560;"Social Problems";journal;"15338533, 00377791";"Oxford University Press";No;No;1,932;Q1;117;58;134;4137;544;131;3,71;71,33;61,00;9;36;United States;Northern America;"Oxford University Press";"1973, 1975, 1977-1979, 1982, 1984, 1989-1990, 1993, 1995-2025";"Sociology and Political Science (Q1)";"Social Sciences"
54;67863;"Party Politics";journal;"13540688, 14603683";"SAGE Publications Ltd";No;No;1,930;Q1;92;88;243;4953;668;240;2,72;56,28;32,34;22;26;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2025";"Sociology and Political Science (Q1)";"Social Sciences"
55;19878;"Journal of European Public Policy";journal;"14664429, 13501763";"Routledge";No;No;1,922;Q1;140;109;309;4925;1483;275;4,14;45,18;33,16;49;38;United Kingdom;Western Europe;"Routledge";"1994-2025";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
56;35048;"Food Policy";journal;"03069192";"Elsevier B.V.";No;No;1,896;Q1;145;127;364;8549;2609;361;6,96;67,31;40,27;62;88;United Kingdom;Western Europe;"Elsevier B.V.";"1975-2025";"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
57;17449;"Science Communication";journal;"15528545, 10755470";"SAGE Publications Inc.";No;No;1,886;Q1;80;35;104;1899;653;88;6,49;54,26;55,38;7;17;United States;Northern America;"SAGE Publications Inc.";"1979-2025";"Sociology and Political Science (Q1)";"Social Sciences"
58;110031;"Resources Policy";journal;"03014207";"Elsevier Ltd";No;No;1,869;Q1;138;622;1075;40855;10415;1075;9,80;65,68;32,15;52;406;United Kingdom;Western Europe;"Elsevier Ltd";"1974-2025";"Economics and Econometrics (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
59;14925;"Gender and Society";journal;"08912432, 15523977";"SAGE Publications Inc.";No;No;1,866;Q1;132;32;115;1888;667;110;5,56;59,00;75,00;4;26;United States;Northern America;"SAGE Publications Inc.";"1987-2025";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
60;24519;"Environmental Politics";journal;"09644016";"Routledge";No;No;1,851;Q1;98;62;200;3796;1147;182;5,65;61,23;45,83;22;45;United Kingdom;Western Europe;"Routledge";"1992-2025";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
61;22867;"Political Research Quarterly";journal;"1938274X, 10659129";"SAGE Publications Inc.";No;No;1,792;Q1;105;96;216;6101;686;216;2,71;63,55;30,36;14;40;United States;Northern America;"SAGE Publications Inc.";"1948, 1950-1952, 1954-1955, 1957-1967, 1969-1977, 1979-1986, 1988-2025";"Sociology and Political Science (Q1)";"Social Sciences"
62;21100264650;"European Political Science Review";journal;"17557739, 17557747";"Cambridge University Press";No;No;1,776;Q1;54;33;87;2132;280;86;2,90;64,61;28,81;0;12;United Kingdom;Western Europe;"Cambridge University Press";"2009-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
63;25848;"International Studies Quarterly";journal;"14682478, 00208833";"Oxford University Press";No;No;1,768;Q1;126;103;273;8190;773;272;2,36;79,51;34,18;23;39;United States;Northern America;"Oxford University Press";"1978, 1985, 1989-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
64;14427;"European Sociological Review";journal;"02667215, 14682672";"Oxford University Press";No;No;1,758;Q1;115;60;174;3498;663;172;2,99;58,30;36,69;23;44;United Kingdom;Western Europe;"Oxford University Press";"1985-2025";"Sociology and Political Science (Q1)";"Social Sciences"
65;16051;"American Review of Public Administration";journal;"15523357, 02750740";"SAGE Publications Inc.";No;No;1,745;Q1;82;36;190;2917;1039;186;5,90;81,03;50,00;6;17;United States;Northern America;"SAGE Publications Inc.";"1967-1983, 1987-2025";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
66;16956;"Cities";journal;"02642751";"Elsevier Ltd";No;No;1,718;Q1;141;521;1094;38123;8613;1087;7,08;73,17;41,00;72;442;United Kingdom;Western Europe;"Elsevier Ltd";"1983-2025";"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)";"Business, Management and Accounting; Social Sciences"
67;21100869398;"Work, Aging and Retirement";journal;"20544650";"Oxford University Press";No;No;1,699;Q1;39;35;77;2388;306;76;4,39;68,23;54,67;6;13;United States;Northern America;"Oxford University Press";"2015-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geriatrics and Gerontology (Q1); Industrial Relations (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Medicine; Social Sciences"
68;28122;"Perspectives on Sexual and Reproductive Health";journal;"15386341";"Wiley-Blackwell";No;No;1,698;Q1;101;20;54;778;192;47;4,03;38,90;84,42;2;18;United States;Northern America;"Wiley-Blackwell";"1996-2025";"Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
69;18697;"Theory and Society";journal;"15737853, 03042421";"Springer Netherlands";No;No;1,673;Q1;94;36;108;3389;421;105;4,26;94,14;21,82;0;7;Netherlands;Western Europe;"Springer Netherlands";"1974-2025";"History (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
70;4100151507;"Research in Social Stratification and Mobility";book series;"02765624";"Emerald Publishing";No;No;1,666;Q1;61;39;153;3276;672;149;4,98;84,00;39,76;14;36;United States;Northern America;"Emerald Publishing";"2001-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
71;17493;"Internet Research";journal;"10662243";"Emerald Group Publishing Ltd.";No;No;1,650;Q1;118;90;249;7693;1955;244;6,14;85,48;38,46;0;8;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1991-2025";"Communication (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
72;16192;"Media, Culture and Society";journal;"01634437, 14603675";"SAGE Publications Ltd";No;No;1,641;Q1;93;96;276;5027;1119;274;3,54;52,36;48,03;11;31;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2025";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
73;24592;"European Journal of International Relations";journal;"13540661";"SAGE Publications Ltd";No;No;1,639;Q1;107;40;162;3396;574;157;3,25;84,90;38,46;9;11;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
74;14946;"Group Processes and Intergroup Relations";journal;"14617188, 13684302";"SAGE Publications Ltd";No;No;1,631;Q1;97;104;224;7051;991;218;4,90;67,80;50,00;12;32;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2025";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
75;77191;"Early Childhood Research Quarterly";journal;"08852006";"Elsevier Ltd";No;No;1,630;Q1;125;108;370;7545;1646;363;3,77;69,86;76,52;26;45;United Kingdom;Western Europe;"Elsevier Ltd";"1986-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
76;16772;"Canadian Journal of Political Science";journal;"17449324, 00084239";"Cambridge University Press";No;No;1,621;Q1;48;50;156;2268;463;155;3,55;45,36;40,22;0;10;United Kingdom;Western Europe;"Cambridge University Press";"1968-2025";"Sociology and Political Science (Q1)";"Social Sciences"
77;22915;"Journal of Economic Psychology";journal;"01674870";"Elsevier B.V.";No;No;1,601;Q1;126;60;216;2950;693;210;3,20;49,17;34,36;8;16;Netherlands;Western Europe;"Elsevier B.V.";"1981-2025";"Applied Psychology (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Psychology; Social Sciences"
78;15499;"Journal of Experimental Social Psychology";journal;"00221031, 10960465";"Academic Press Inc.";No;No;1,596;Q1;180;127;358;8500;1352;353;3,68;66,93;38,52;5;25;United States;Northern America;"Academic Press Inc.";"1965-2025";"Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
79;25733;"Journal of Criminal Justice";journal;"00472352";"Elsevier B.V.";Yes;No;1,573;Q1;106;96;188;7125;930;188;5,35;74,22;47,99;12;46;United Kingdom;Western Europe;"Elsevier B.V.";"1973-2025";"Applied Psychology (Q1); Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
80;22890;"Political Studies";journal;"00323217, 14679248";"SAGE Publications Ltd";No;No;1,566;Q1;110;51;163;3381;584;162;4,01;66,29;38,14;16;21;United Kingdom;Western Europe;"SAGE Publications Ltd";"1953-2025";"Sociology and Political Science (Q1)";"Social Sciences"
81;15039;"African Affairs";journal;"00019909, 14682621";"Oxford University Press";No;No;1,565;Q1;88;33;87;2217;262;87;2,65;67,18;42,22;16;15;United Kingdom;Western Europe;"Oxford University Press";"1901-2024";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
82;17162;"Public Administration";journal;"14679299, 00333298";"Wiley-Blackwell Publishing Ltd";No;No;1,561;Q1;118;65;176;4598;868;173;4,41;70,74;28,40;23;16;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1923-2025";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
